Category: All categories,,,,,
,,,,,
Day,Coronavirus symptons: (Worldwide),fever: (Worldwide),sore throat: (Worldwide),loss of taste: (Worldwide),shortness of breath: (Worldwide)
12/1/19,0,39,12,<1,2
12/2/19,0,38,11,<1,2
12/3/19,0,40,12,<1,2
12/4/19,0,40,12,<1,2
12/5/19,0,41,12,<1,2
12/6/19,0,40,12,<1,1
12/7/19,0,39,12,<1,1
12/8/19,0,43,13,<1,2
12/9/19,0,45,12,<1,2
12/10/19,0,43,13,<1,2
12/11/19,0,42,12,<1,2
12/12/19,0,43,12,<1,2
12/13/19,0,42,12,<1,2
12/14/19,0,43,13,<1,1
12/15/19,0,44,14,<1,2
12/16/19,0,45,13,<1,2
12/17/19,0,45,13,<1,1
12/18/19,0,42,14,<1,2
12/19/19,0,44,14,<1,1
12/20/19,0,41,13,<1,2
12/21/19,0,45,13,<1,1
12/22/19,0,46,14,<1,1
12/23/19,0,46,15,<1,2
12/24/19,0,46,15,<1,2
12/25/19,0,43,13,<1,2
12/26/19,0,46,16,<1,2
12/27/19,0,47,16,<1,2
12/28/19,0,49,17,<1,2
12/29/19,0,49,16,<1,2
12/30/19,0,46,16,<1,2
12/31/19,0,46,15,<1,2
1/1/20,0,45,15,<1,2
1/2/20,0,43,14,<1,2
1/3/20,0,43,15,<1,2
1/4/20,0,44,14,<1,2
1/5/20,0,44,15,<1,2
1/6/20,0,42,13,<1,2
1/7/20,0,42,13,<1,2
1/8/20,0,43,13,<1,2
1/9/20,0,41,12,<1,2
1/10/20,0,40,12,<1,2
1/11/20,0,40,12,<1,2
1/12/20,0,42,12,<1,2
1/13/20,0,41,11,<1,2
1/14/20,0,43,11,<1,2
1/15/20,0,44,12,<1,2
1/16/20,0,42,10,<1,2
1/17/20,0,39,10,<1,2
1/18/20,0,41,11,<1,2
1/19/20,0,41,12,<1,2
1/20/20,0,43,11,<1,1
1/21/20,<1,45,12,<1,2
1/22/20,<1,45,11,<1,2
1/23/20,<1,46,12,<1,2
1/24/20,<1,46,12,<1,2
1/25/20,<1,47,12,<1,2
1/26/20,<1,49,14,<1,2
1/27/20,<1,49,13,<1,2
1/28/20,<1,52,15,<1,2
1/29/20,<1,48,14,<1,2
1/30/20,<1,48,16,<1,2
1/31/20,1,47,14,<1,2
2/1/20,<1,49,15,<1,2
2/2/20,<1,48,14,<1,2
2/3/20,<1,49,14,<1,2
2/4/20,<1,50,14,<1,3
2/5/20,<1,47,14,<1,2
2/6/20,<1,48,14,<1,2
2/7/20,<1,46,13,<1,2
2/8/20,<1,48,15,<1,3
2/9/20,<1,48,14,<1,2
2/10/20,1,46,13,<1,2
2/11/20,<1,47,14,<1,2
2/12/20,<1,47,14,<1,2
2/13/20,<1,45,13,<1,2
2/14/20,<1,44,12,<1,2
2/15/20,<1,45,13,<1,2
2/16/20,<1,47,15,<1,2
2/17/20,<1,46,13,<1,2
2/18/20,<1,48,14,<1,2
2/19/20,<1,47,14,<1,2
2/20/20,<1,47,13,<1,2
2/21/20,<1,45,13,<1,2
2/22/20,<1,42,14,<1,2
2/23/20,<1,44,14,<1,2
2/24/20,<1,46,13,<1,2
2/25/20,<1,48,14,<1,2
2/26/20,<1,46,14,<1,2
2/27/20,1,45,14,<1,3
2/28/20,<1,44,14,<1,3
2/29/20,<1,46,14,<1,2
3/1/20,<1,49,15,<1,2
3/2/20,1,51,16,<1,3
3/3/20,<1,49,16,<1,3
3/4/20,1,50,17,<1,3
3/5/20,1,50,17,<1,4
3/6/20,1,52,17,<1,3
3/7/20,1,52,17,<1,3
3/8/20,1,50,20,<1,3
3/9/20,1,57,20,<1,4
3/10/20,1,60,23,<1,5
3/11/20,1,63,24,<1,5
3/12/20,2,80,33,<1,7
3/13/20,2,87,38,<1,7
3/14/20,1,92,41,<1,8
3/15/20,2,95,41,<1,8
3/16/20,2,99,43,<1,9
3/17/20,2,100,46,1,10
3/18/20,2,99,43,1,9
3/19/20,1,96,38,1,9
3/20/20,1,92,40,1,9
3/21/20,1,91,42,3,9
3/22/20,1,86,42,3,9
3/23/20,1,87,41,6,9
3/24/20,1,87,40,4,10
3/25/20,1,89,37,4,9
3/26/20,1,82,35,3,8
3/27/20,1,80,31,3,9
3/28/20,1,75,31,3,8
3/29/20,1,74,29,3,9
3/30/20,1,69,26,3,8
3/31/20,1,66,25,2,8
4/1/20,1,65,25,3,8
4/2/20,1,64,25,2,7
4/3/20,<1,62,24,2,7
4/4/20,<1,61,24,2,7
4/5/20,<1,62,22,2,7
4/6/20,<1,61,21,2,7
4/7/20,<1,59,19,1,6
4/8/20,<1,58,19,1,6
